playing ...
opening file 'op87_07b.mid'...
15900.0 track1 81 0;
0.0 track2 73 0;
15900.0 track1 76 1;
0.0 track2 69 1;
16050.0 track1 76 0;
0.0 track3 64 0;
16050.0 track1 81 1;
0.0 track3 61 1;
16200.0 track3 61 0;
16200.0 track1 81 0;
0.0 track3 57 1;
16200.0 track1 85 1;
16350.0 track3 57 0;
16350.0 track3 61 1;
16500.0 track2 69 0;
0.0 track3 61 0;
16500.0 track2 73 1;
0.0 track3 64 1;
16650.0 track3 64 0;
16650.0 track3 69 1;
16800.0 track1 85 0;
0.0 track2 73 0;
0.0 track3 69 0;
16800.0 track1 88 1;
0.0 track2 71 1;
0.0 track3 68 1;
16950.0 track1 80 1;
0.0 track2 71 0;
16950.0 track2 76 1;
17100.0 track1 80 0;
0.0 track2 76 0;
17100.0 track1 88 0;
0.0 track2 71 1;
17100.0 track1 83 1;
17250.0 track1 83 0;
0.0 track3 68 0;
17250.0 track3 64 1;
17400.0 track1 86 1;
0.0 track2 71 0;
0.0 track3 64 0;
17400.0 track2 69 1;
0.0 track3 66 1;
17552.2845 track2 69 0;
17552.2845 track2 74 1;
17704.569 track1 86 0;
0.0 track3 66 0;
17704.569 track1 78 1;
0.0 track3 62 1;
17856.8535 track2 74 0;
0.0 track3 62 0;
17856.8535 track2 69 1;
0.0 track3 66 1;
18009.138 track1 78 0;
0.0 track2 69 0;
0.0 track3 66 0;
18009.138 track1 76 1;
0.0 track2 71 1;
0.0 track3 68 1;
18161.4225 track2 71 0;
18161.4225 track2 80 1;
18313.707 track2 80 0;
18313.707 track1 76 0;
0.0 track2 76 1;
18313.707 track1 83 1;
18465.9915 track1 83 0;
0.0 track3 68 0;
18465.9915 track1 80 1;
0.0 track3 71 1;
18618.276 track1 80 0;
0.0 track2 76 0;
0.0 track3 71 0;
18618.276 track1 81 1;
0.0 track2 81 1;
0.0 track3 66 1;
18770.5605 track1 81 0;
18770.5605 track1 86 1;
18922.845 track2 81 0;
18922.845 track2 78 1;
19075.1295 track2 78 0;
19075.1295 track2 74 1;
19227.414 track1 86 0;
0.0 track2 74 0;
0.0 track3 66 0;
19227.414 track1 85 1;
0.0 track2 68 1;
0.0 track3 64 1;
19379.6985 track2 68 0;
19379.6985 track2 73 1;
19531.983 track1 85 0;
0.0 track2 73 0;
19531.983 track1 76 1;
0.0 track2 68 1;
19684.2675 track1 76 0;
0.0 track3 64 0;
19684.2675 track1 80 1;
0.0 track3 61 1;
19836.552 track1 80 0;
0.0 track2 68 0;
0.0 track3 61 0;
19836.552 track1 83 1;
0.0 track2 66 1;
0.0 track3 62 1;
19988.8365 track2 66 0;
19988.8365 track2 71 1;
20141.121 track1 83 0;
0.0 track3 62 0;
20141.121 track1 74 1;
0.0 track3 59 1;
20293.4055 track2 71 0;
0.0 track3 59 0;
20293.4055 track2 66 1;
0.0 track3 62 1;
20445.69 track1 74 0;
0.0 track2 66 0;
0.0 track3 62 0;
20445.69 track1 73 1;
0.0 track2 68 1;
0.0 track3 64 1;
20597.9745 track2 68 0;
20597.9745 track2 76 1;
20750.259 track1 73 0;
0.0 track2 76 0;
20750.259 track1 80 1;
0.0 track2 73 1;
20902.5435 track1 80 0;
0.0 track3 64 0;
20902.5435 track1 76 1;
0.0 track3 68 1;
21054.828 track2 73 0;
0.0 track3 68 0;
21054.828 track1 76 0;
0.0 track2 78 1;
0.0 track3 62 1;
21054.828 track1 78 1;
21207.1125 track1 78 0;
21207.1125 track1 83 1;
21359.397 track2 78 0;
21359.397 track2 74 1;
21511.6815 track2 74 0;
21511.6815 track2 71 1;
21663.966 track1 83 0;
0.0 track2 71 0;
0.0 track3 62 0;
21663.966 track3 61 1;
21968.535 track1 85 1;
0.0 track2 76 1;
22120.8195 track1 85 0;
22120.8195 track1 81 1;
22273.104 track1 81 0;
0.0 track2 76 0;
22273.104 track1 76 1;
0.0 track2 73 1;
22423.104 track2 73 0;
0.0 track3 61 0;
22423.104 track2 69 1;
22573.104 track1 76 0;
0.0 track2 69 0;
22573.104 track1 74 1;
0.0 track2 71 1;
22723.104 track1 74 0;
22723.104 track1 78 1;
22873.104 track1 78 0;
0.0 track2 71 0;
22873.104 track1 73 1;
0.0 track2 69 1;
23023.104 track2 69 0;
23023.104 track2 64 1;
23173.104 track1 73 0;
0.0 track2 64 0;
23173.104 track1 71 1;
0.0 track2 68 1;
23323.104 track1 71 0;
23323.104 track1 76 1;
23473.104 track2 68 0;
23473.104 track1 76 0;
0.0 track2 69 1;
23473.104 track1 73 1;
23623.104 track2 69 0;
23623.104 track2 64 1;
23773.104 track1 73 0;
0.0 track2 64 0;
23773.104 track1 71 1;
0.0 track2 68 1;
23923.104 track2 68 0;
23923.104 track2 64 1;
24073.104 track1 71 0;
0.0 track2 64 0;
0.0 track3 54 1;
24073.104 track1 69 1;
0.0 track2 66 1;
24223.104 track1 69 0;
24223.104 track1 73 1;
24373.104 track1 73 0;
0.0 track3 54 0;
24373.104 track1 78 1;
0.0 track3 57 1;
24523.104 track2 66 0;
24523.104 track2 61 1;
24673.104 track2 61 0;
24673.104 track2 66 1;
24823.104 track1 78 0;
0.0 track2 66 0;
24823.104 track1 85 1;
0.0 track2 69 1;
24973.104 track1 85 0;
0.0 track2 69 0;
0.0 track3 57 0;
24973.104 track1 81 1;
0.0 track2 73 1;
0.0 track3 54 1;
25123.104 track2 73 0;
25123.104 track2 78 1;
25273.104 track2 78 0;
0.0 track3 54 0;
25273.104 track2 73 1;
0.0 track3 57 1;
25423.104 track1 81 0;
25423.104 track1 78 1;
25573.104 track1 78 0;
25573.104 track1 81 1;
25723.104 track2 73 0;
0.0 track3 57 0;
25723.104 track2 69 1;
0.0 track3 54 1;
25873.104 track1 81 0;
0.0 track2 69 0;
0.0 track3 54 0;
25873.104 track1 73 1;
0.0 track2 73 1;
0.0 track3 57 1;
26023.104 track1 73 0;
26023.104 track1 78 1;
26173.104 track1 78 0;
0.0 track2 73 0;
26173.104 track1 73 1;
0.0 track2 69 1;
26323.104 track2 69 0;
0.0 track3 57 0;
26323.104 track2 78 1;
0.0 track3 61 1;
26473.104 track1 73 0;
0.0 track2 78 0;
0.0 track3 61 0;
26473.104 track1 85 1;
0.0 track2 73 1;
0.0 track3 57 1;
26623.104 track1 85 0;
26623.104 track1 81 1;
26773.104 track1 81 0;
0.0 track2 73 0;
26773.104 track1 78 1;
0.0 track2 69 1;
26923.104 track2 69 0;
0.0 track3 57 0;
26923.104 track2 61 1;
0.0 track3 61 1;
27073.104 track2 61 0;
0.0 track3 61 0;
27073.104 track2 66 1;
0.0 track3 57 1;
27223.104 track1 78 0;
27223.104 track1 81 1;
27373.104 track1 81 0;
0.0 track2 66 0;
27373.104 track1 73 1;
0.0 track2 69 1;
27523.104 track2 69 0;
0.0 track3 57 0;
27523.104 track2 78 1;
0.0 track3 61 1;
27673.104 track2 78 0;
0.0 track3 61 0;
27673.104 track1 73 0;
0.0 track2 73 1;
0.0 track3 57 1;
27673.104 track1 85 1;
27823.104 track1 85 0;
0.0 track3 57 0;
27823.104 track1 81 1;
0.0 track3 54 1;
27973.104 track1 81 0;
0.0 track3 54 0;
27973.104 track1 78 1;
0.0 track3 49 1;
28123.104 track2 73 0;
0.0 track3 49 0;
28123.104 track2 69 1;
0.0 track3 54 1;
28273.104 track2 69 0;
0.0 track3 54 0;
28273.104 track2 66 1;
0.0 track3 57 1;
28423.104 track2 66 0;
28423.104 track2 69 1;
28573.104 track1 78 0;
0.0 track2 69 0;
28573.104 track1 81 1;
0.0 track2 73 1;
28723.104 track2 73 0;
0.0 track3 57 0;
28723.104 track2 78 1;
0.0 track3 54 1;
28873.104 track1 81 0;
0.0 track2 78 0;
0.0 track3 54 0;
28873.104 track1 80 1;
0.0 track2 73 1;
0.0 track3 52 1;
29023.104 track3 52 0;
29023.104 track3 56 1;
29173.104 track1 80 0;
0.0 track3 56 0;
29173.104 track1 76 1;
0.0 track3 61 1;
29323.104 track2 73 0;
29323.104 track2 68 1;
29473.104 track2 68 0;
29473.104 track2 73 1;
29623.104 track3 61 0;
29623.104 track2 73 0;
0.0 track3 56 1;
29623.104 track2 76 1;
29773.104 track1 76 0;
0.0 track2 76 0;
0.0 track3 56 0;
29773.104 track1 80 1;
0.0 track2 73 1;
0.0 track3 52 1;
29923.104 track1 80 0;
29923.104 track1 85 1;
30073.104 track1 85 0;
0.0 track2 73 0;
30073.104 track1 80 1;
0.0 track2 76 1;
30223.104 track3 52 0;
30223.104 track3 61 1;
30373.104 track3 61 0;
30373.104 track3 56 1;
30523.104 track1 80 0;
0.0 track2 76 0;
30523.104 track1 76 1;
0.0 track2 73 1;
30673.104 track1 76 0;
0.0 track2 73 0;
30673.104 track1 80 1;
0.0 track2 76 1;
30823.104 track3 56 0;
30823.104 track3 61 1;
30973.104 track1 80 0;
0.0 track3 61 0;
30973.104 track1 76 1;
0.0 track3 56 1;
31123.104 track1 76 0;
0.0 track2 76 0;
31123.104 track1 85 1;
0.0 track2 80 1;
31273.104 track2 80 0;
31273.104 track1 85 0;
0.0 track2 76 1;
31273.104 track1 80 1;
31423.104 track2 76 0;
0.0 track3 56 0;
31423.104 track2 73 1;
0.0 track3 52 1;
31573.104 track1 80 0;
0.0 track3 52 0;
31573.104 track1 76 1;
0.0 track3 49 1;
31723.104 track2 73 0;
31723.104 track1 76 0;
0.0 track2 68 1;
31723.104 track1 68 1;
31873.104 track1 68 0;
0.0 track2 68 0;
31873.104 track1 73 1;
0.0 track2 64 1;
32023.104 track3 49 0;
32023.104 track3 61 1;
32173.104 track3 61 0;
32173.104 track1 73 0;
0.0 track3 56 1;
32173.104 track1 76 1;
32323.104 track1 76 0;
0.0 track2 64 0;
32323.104 track1 85 1;
0.0 track2 80 1;
32473.104 track1 85 0;
0.0 track2 80 0;
32473.104 track1 80 1;
0.0 track2 76 1;
32623.104 track2 76 0;
0.0 track3 56 0;
32623.104 track2 73 1;
0.0 track3 52 1;
32773.104 track2 73 0;
0.0 track3 52 0;
32773.104 track2 68 1;
0.0 track3 49 1;
32923.104 track1 80 0;
0.0 track2 68 0;
32923.104 track1 76 1;
0.0 track2 73 1;
33073.104 track1 76 0;
0.0 track2 73 0;
33073.104 track1 73 1;
0.0 track2 64 1;
33223.104 track1 73 0;
33223.104 track1 76 1;
33373.104 track1 76 0;
0.0 track3 49 0;
33373.104 track1 80 1;
0.0 track3 52 1;
33523.104 track1 80 0;
33523.104 track1 85 1;
33673.104 track1 85 0;
0.0 track2 64 0;
0.0 track3 52 0;
33673.104 track1 83 1;
0.0 track2 62 1;
33823.104 track2 62 0;
33823.104 track2 66 1;
33973.104 track2 66 0;
33973.104 track2 62 1;
34123.104 track1 83 0;
34123.104 track1 78 1;
34273.104 track1 78 0;
0.0 track2 62 0;
34273.104 track1 81 1;
0.0 track2 61 1;
34424.619 track2 61 0;
34424.619 track2 66 1;
34576.134 track1 81 0;
34576.134 track1 78 1;
34727.649 track1 78 0;
0.0 track2 66 0;
34727.649 track1 81 1;
0.0 track2 61 1;
34879.164 track1 81 0;
0.0 track2 61 0;
34879.164 track1 83 1;
0.0 track2 62 1;
35030.679 track2 62 0;
35030.679 track2 71 1;
35182.194 track2 71 0;
35182.194 track2 66 1;
35333.709 track1 83 0;
35333.709 track1 86 1;
35485.224 track1 86 0;
35485.224 track1 81 1;
35638.285 track2 66 0;
35638.285 track2 73 1;
35791.346 track2 73 0;
35791.346 track2 66 1;
35944.407 track1 81 0;
35944.407 track1 78 1;
36097.468 track1 78 0;
0.0 track2 66 0;
36097.468 track1 73 1;
0.0 track2 64 1;
36250.529 track2 64 0;
36250.529 track2 68 1;
36403.59 track2 68 0;
36403.59 track2 64 1;
36556.651 track1 73 0;
36556.651 track1 68 1;
36709.712 track1 68 0;
0.0 track2 64 0;
36709.712 track1 71 1;
0.0 track2 62 1;
36862.773 track2 62 0;
36862.773 track2 59 1;
37015.834 track1 71 0;
37015.834 track1 66 1;
37168.895 track1 66 0;
0.0 track2 59 0;
37168.895 track1 71 1;
0.0 track2 62 1;
37321.956 track1 71 0;
0.0 track2 62 0;
37321.956 track1 68 1;
0.0 track2 64 1;
37475.017 track1 68 0;
37475.017 track1 76 1;
37628.078 track1 76 0;
37628.078 track1 73 1;
37781.139 track2 64 0;
37781.139 track2 68 1;
37934.2 track1 73 0;
0.0 track2 68 0;
37934.2 track1 66 1;
0.0 track2 62 1;
38087.261 track1 66 0;
38087.261 track1 71 1;
38240.322 track1 71 0;
0.0 track2 62 0;
38240.322 track1 73 1;
0.0 track2 64 1;
38393.383 track1 73 0;
38393.383 track1 76 1;
38546.444 track1 76 0;
0.0 track2 64 0;
38546.444 track1 73 1;
0.0 track2 57 1;
38699.505 track1 73 0;
